security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
002466,天齐锂业,2024-01-03,2024-01-29,26,5,1,7075348.00,6559886.00,0.00,-0.072853,0.147275,0.156298,53.7647,60,0.4058,1.4690,136.5846,127.6110,145.5582,跌破建仓日MA60止损
601916,,2024-01-03,2024-04-01,89,16,1,5550093.00,5974602.00,0.00,0.076487,0.025641,0.063926,2.5183,60,0.5488,0.8078,4.6100,4.3071,4.9129,移出股票库·逐步清仓
600176,中国巨石,2024-03-07,2024-06-13,98,4,1,1939081.00,2204005.50,53377.50,0.136624,0.134037,0.131217,9.3515,60,0.4783,1.0992,20.6977,19.3379,22.0575,换仓：让位给空间更大的601225
000792,盐湖股份,2024-03-07,2024-07-29,144,24,1,82965343.00,74323161.00,0.00,-0.104166,0.160351,0.172121,15.3415,60,0.4523,1.2067,36.6315,34.2248,39.0382,跌破建仓日MA60止损
000001,,2024-04-01,2024-11-05,218,6,1,5523269.00,6518081.40,135046.40,0.180113,0.109861,0.104975,8.9470,60,0.6277,0.5751,16.7595,15.6584,17.8606,换仓：让位给空间更大的002466
600919,江苏银行,2024-04-02,2024-06-11,70,2,1,1593.00,1550.00,0.00,-0.026993,0.091232,0.091232,7.4148,60,0.6959,0.4298,11.4380,10.6865,12.1895,换仓：让位给空间更大的601225
601988,,2024-04-03,2024-05-07,34,2,1,896.00,896.00,0.00,0.000000,0.050847,0.050847,4.3232,60,0.8166,0.2300,5.5104,5.1484,5.8724,换仓：让位给空间更大的000063
601229,,2024-04-10,2024-06-12,63,3,1,2206.00,2268.00,0.00,0.028105,0.057357,0.100087,6.4818,60,0.7272,0.3711,9.3238,8.7112,9.9364,换仓：让位给空间更大的601225
600928,,2024-04-12,2024-04-15,3,1,1,342.00,350.00,0.00,0.023392,0.000000,0.000000,3.4360,60,0.9048,0.1246,3.8461,3.5934,4.0988,换仓：让位给空间更大的601225
601187,,2024-05-10,2024-06-07,28,1,1,566.00,565.00,0.00,-0.001767,0.072968,0.072968,5.3245,60,0.7828,0.2729,7.2046,6.7313,7.6779,换仓：让位给空间更大的601225
600970,中材国际,2024-05-22,2024-07-09,48,1,1,1275.00,1080.00,40.00,-0.152941,0.178515,0.173047,11.5370,60,0.6809,0.4974,19.0913,17.8370,20.3456,跌破建仓日MA60止损
601939,建设银行,2024-07-29,2024-10-30,93,2,2,10434604.00,11077344.00,0.00,0.061597,0.151914,0.151914,6.9752,60,0.7802,0.2580,9.5107,8.8858,10.1356,换仓：让位给空间更大的002466
